,MassBin,Bin Kind,M_tot,q,chieff,chip,N_tot,VT_tot,N_rec,PyCBC_N_rec,GstLAL_N_rec,cWB_N_rec,SIM_ID,z,VT_sen,R_n_0,R_n_1
0,0,,120,1.0,0.0,0.0,235438,340.078,12066.0,11084.0,8106.0,8477.0,"SXS:BBH:0180, RIT:BBH:0198:n140, GT:0905",2.35,17.428712221476566,0.1321382768121057,0.22317885283611974
1,1,,120,2.0,0.0,0.0,242893,282.083,10820.0,9908.0,7046.0,7690.0,"SXS:BBH:0169, RIT:BBH:0117:n140, GT:0446",2.0,12.565772006603732,0.1832756474325411,0.3095488281942266
2,2,,120,4.0,0.0,0.0,269575,162.518,8510.0,7692.0,5036.0,5878.0,"SXS:BBH:0182, RIT:BBH:0119:n140, GT:0454",1.35,5.130402225725679,0.4488926791065096,0.758170573935811
3,3,,120,5.0,0.0,0.0,277772,124.72,7763.0,6919.0,4586.0,5386.0,"SXS:BBH:0056, RIT:BBH:0120:n140, GT:0906",1.15,3.4855973964258458,0.6607188777342762,1.1159407004344633
4,4,,120,7.0,0.0,0.0,297997,79.686,7006.0,6249.0,3930.0,4653.0,"SXS:BBH:0298 RIT:BBH:Q10:n173, GT:0568",0.9,1.8734420682087407,1.2292880783882332,2.076242476885922
5,5,,120,10.0,0.0,0.0,321276,47.8479,6212.0,5483.0,3447.0,4049.0,"SXS:BBH:0154, RIT:BBH:0068:n100",0.7,0.9251582900683525,2.489303749123677,4.204383230152561
6,6,,150,2.0,0.0,0.0,209975,255.64,10645.0,9812.0,6077.0,8181.0,"SXS:BBH:0169, RIT:BBH:0117:n140, GT:0446",1.85,12.96005619716633,0.17769984674167869,0.30013141461921083
7,7,,200,1.0,0.0,0.0,185246,255.64,11778.0,10754.0,7440.0,9248.0,"SXS:BBH:0180, RIT:BBH:0198:n140, GT:0905",1.85,16.253673061766516,0.14169104984751676,0.2393132915383773
8,8,,200,2.0,0.0,0.0,184217,209.793,10400.0,9085.0,5756.0,8318.0,"SXS:BBH:0169, RIT:BBH:0117:n140, GT:0446",1.6,11.84389714304326,0.19444613307476344,0.32841555047484533
9,9,,200,4.0,0.0,0.0,193364,124.72,7510.0,6045.0,2993.0,5714.0,"SXS:BBH:0182, RIT:BBH:0119:n140, GT:0454",1.15,4.843958544506734,0.47543759485962267,0.8030043949098443
10,10,,200,7.0,0.0,0.0,201356,63.1258,5613.0,4276.0,1696.0,4119.0,"SXS:BBH:0298 RIT:BBH:Q10:n173, GT:0568",0.8,1.759694845944496,1.3087496421937241,2.210451436488829
11,11,,220,10.0,0.0,0.0,192595,34.1968,4575.0,3197.0,1236.0,3364.0,"SXS:BBH:0154, RIT:BBH:0068:n100",0.6,0.812328253589138,2.8350608141777363,4.788359856762233
12,12,,250,4.0,0.0,0.0,171494,97.2134,6954.0,5283.0,3182.0,4992.0,"SXS:BBH:0182, RIT:BBH:0119:n140, GT:0454",1.0,3.941957057389763,0.584227571856141,0.9867484458533516
13,13,,300,2.0,0.0,0.0,157489,124.72,9680.0,7922.0,6799.0,7397.0,"SXS:BBH:0169, RIT:BBH:0117:n140, GT:0446",1.15,7.66586618747976,0.30042267157772257,0.5074077612198432
14,14,,350,6.0,0.0,0.0,141812,34.1968,4744.0,3001.0,1806.0,3116.0,"SXS:BBH:0181, RIT:BBH:0121:n140, GT:0604",0.6,1.1439766677008998,2.0131529471037553,3.4001742429042205
15,15,,400,1.0,0.0,0.0,170032,97.2134,10106.0,8431.0,7497.0,7959.0,"SXS:BBH:0180, RIT:BBH:0198:n140, GT:0905",1.0,5.777963091653335,0.3985833698603651,0.6731991773396697
16,16,,400,2.0,0.0,0.0,144070,71.2662,8392.0,6224.0,5427.0,6741.0,"SXS:BBH:0169, RIT:BBH:0117:n140, GT:0446",0.85,4.151217813562852,0.5547769602634779,0.9370069639062334
17,17,,400,3.0,0.0,0.0,124076,47.8479,6712.0,4369.0,3345.0,5018.0,"SXS:BBH:0030, RIT:BBH:0102:n140, GT:0453",0.7,2.5883740997453177,0.8897477378662547,1.502765771139005
18,18,,400,4.0,0.0,0.0,115944,34.1968,5810.0,3771.0,2375.0,4139.0,"SXS:BBH:0182, RIT:BBH:0119:n140, GT:0454",0.6,1.713615262540537,1.343942278260095,2.2698910805878665
19,19,,400,7.0,0.0,0.0,118781,17.5403,4670.0,2965.0,1335.0,3162.0,"SXS:BBH:0298 RIT:BBH:Q10:n173, GT:0568",0.45,0.6896153509399651,3.339542829000176,5.6404196842460115
20,20,,440,10.0,0.0,0.0,100269,6.35876,4885.0,3150.0,1439.0,3217.0,"RIT:BBH:Q10:n173, GT:0568",0.3,0.3097920852905684,7.434018199141238,12.555905023692425
21,21,,500,1.5,0.0,0.0,152056,47.8479,7840.0,5957.0,4608.0,6246.0,"RIT:BBH:0115:n140, GT:0477",0.7,2.4670354080075763,0.933509098622928,1.576677816368031
